index,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
,"['contradiction', 'neutral', 'neutral', 'neutral', 'neutral']",2747436384.jpg#3,neutral,2747436384.jpg#3r1c,Boys with their backs against an incoming wave.,( ( ( Boys ( with ( their backs ) ) ) ( against ( an ( incoming wave ) ) ) ) . ),(ROOT (NP (NP (NNS Boys)) (PP (IN with) (NP (PRP$ their) (NNS backs))) (PP (IN against) (NP (DT an) (JJ incoming) (NN wave))) (. .))),A group of people sit on the beach.,( ( ( A group ) ( of people ) ) ( ( sit ( on ( the beach ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS people)))) (VP (VBP sit) (PP (IN on) (NP (DT the) (NN beach)))) (. .)))
,"['contradiction', 'neutral', 'contradiction', 'entailment', 'contradiction']",2747436384.jpg#1,contradiction,2747436384.jpg#1r1c,Four boys are about to be hit by an approaching wave.,( ( Four boys ) ( ( are ( about ( to ( be ( hit ( by ( an ( approaching wave ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Four) (NNS boys)) (VP (VBP are) (VP (IN about) (S (VP (TO to) (VP (VB be) (VP (VBN hit) (PP (IN by) (NP (DT an) (VBG approaching) (NN wave))))))))) (. .))),The wave missed the boys.,( ( The wave ) ( ( missed ( the boys ) ) . ) ),(ROOT (S (NP (DT The) (NN wave)) (VP (VBD missed) (NP (DT the) (NNS boys))) (. .)))
,"['neutral', 'neutral', 'entailment', 'entailment', 'entailment']",2747436384.jpg#1,entailment,2747436384.jpg#1r1n,Four boys are about to be hit by an approaching wave.,( ( Four boys ) ( ( are ( about ( to ( be ( hit ( by ( an ( approaching wave ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Four) (NNS boys)) (VP (VBP are) (VP (IN about) (S (VP (TO to) (VP (VB be) (VP (VBN hit) (PP (IN by) (NP (DT an) (VBG approaching) (NN wave))))))))) (. .))),A giant wave is about to crash on some boys.,( ( A ( giant wave ) ) ( ( is ( about ( to ( crash ( on ( some boys ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ giant) (NN wave)) (VP (VBZ is) (VP (IN about) (S (VP (TO to) (VP (VB crash) (PP (IN on) (NP (DT some) (NNS boys)))))))) (. .)))
,"['neutral', 'neutral', 'entailment', 'neutral', 'neutral']",6073765731.jpg#2,neutral,6073765731.jpg#2r1n,"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.","( ( A lady ) ( ( is ( ( helping ( another ( woman work ) ) ) ( in ( ( ( a ( silver compartment ) ) , ) ( which ( is ( ( most likely ) ( related ( to nurse-work ) ) ) ) ) ) ) ) ) . ) )","(ROOT (S (NP (DT A) (NN lady)) (VP (VBZ is) (VP (VBG helping) (NP (DT another) (NN woman) (NN work)) (PP (IN in) (NP (NP (DT a) (JJ silver) (NN compartment)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (ADJP (ADVP (RBS most) (RB likely)) (VBN related) (PP (TO to) (NP (NN nurse-work))))))))))) (. .)))",Two woman are trying to finish orders from a doctor,( ( Two woman ) ( are ( trying ( to ( ( finish orders ) ( from ( a doctor ) ) ) ) ) ) ),(ROOT (S (NP (CD Two) (NN woman)) (VP (VBP are) (VP (VBG trying) (S (VP (TO to) (VP (VB finish) (NP (NNS orders)) (PP (IN from) (NP (DT a) (NN doctor))))))))))
,"['neutral', 'entailment', 'neutral', 'neutral', 'entailment']",3344526059.jpg#4,neutral,3344526059.jpg#4r1n,A hockey player in helmet.,( ( ( A ( hockey player ) ) ( in helmet ) ) . ),(ROOT (NP (NP (DT A) (NN hockey) (NN player)) (PP (IN in) (NP (NN helmet))) (. .))),Players are wearing helmet.,( Players ( ( are ( wearing helmet ) ) . ) ),(ROOT (S (NP (NNS Players)) (VP (VBP are) (VP (VBG wearing) (NP (NN helmet)))) (. .)))
,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",3344526059.jpg#4,neutral,3344526059.jpg#4r1e,A hockey player in helmet.,( ( ( A ( hockey player ) ) ( in helmet ) ) . ),(ROOT (NP (NP (DT A) (NN hockey) (NN player)) (PP (IN in) (NP (NN helmet))) (. .))),They are playing hockey,( They ( are ( playing hockey ) ) ),(ROOT (S (NP (PRP They)) (VP (VBP are) (VP (VBG playing) (NP (NN hockey))))))
,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",3439087390.jpg#2,contradiction,3439087390.jpg#2r1c,"couples enjoying a meal, while a bunch of dogs take a nap.","( ( couples ( ( ( enjoying ( a meal ) ) , ) ( while ( ( ( a bunch ) ( of dogs ) ) ( take ( a nap ) ) ) ) ) ) . )","(ROOT (NP (NP (NNS couples)) (VP (VBG enjoying) (NP (DT a) (NN meal)) (, ,) (SBAR (IN while) (S (NP (NP (DT a) (NN bunch)) (PP (IN of) (NP (NNS dogs)))) (VP (VBP take) (NP (DT a) (NN nap)))))) (. .)))",THERE IS A COUPLE WALKING THEIR DOGS,( THERE ( IS ( A ( COUPLE ( WALKING ( THEIR DOGS ) ) ) ) ) ),(ROOT (S (NP (NNP THERE)) (VP (VBZ IS) (NP (DT A) (NNP COUPLE) (NNP WALKING) (NNP THEIR) (NNS DOGS)))))
,"['neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction']",3128856481.jpg#3,contradiction,3128856481.jpg#3r1n,A white duck expanding its wings in the water.,( ( ( A ( white duck ) ) ( ( expanding ( its wings ) ) ( in ( the water ) ) ) ) . ),(ROOT (NP (NP (DT A) (JJ white) (NN duck)) (VP (VBG expanding) (NP (PRP$ its) (NNS wings)) (PP (IN in) (NP (DT the) (NN water)))) (. .))),"The duck is a rare breed, most thought to have been driven into extinction years ago.","( ( ( The duck ) ( is ( a ( rare breed ) ) ) ) ( , ( most ( ( thought ( to ( have ( been ( ( driven ( into ( extinction years ) ) ) ago ) ) ) ) ) . ) ) ) )","(ROOT (S (S (NP (DT The) (NN duck)) (VP (VBZ is) (NP (DT a) (JJ rare) (NN breed)))) (, ,) (NP (JJS most)) (VP (VBD thought) (S (VP (TO to) (VP (VB have) (VP (VBN been) (VP (VBN driven) (PP (IN into) (NP (NN extinction) (NNS years))) (ADVP (IN ago)))))))) (. .)))"
,"['entailment', 'entailment', 'neutral', 'neutral', 'neutral']",2721954475.jpg#0,neutral,2721954475.jpg#0r1e,A group of people stand near and on a large black square on the ground with some yellow writing on it.,( ( ( A group ) ( of people ) ) ( ( ( stand ( ( ( near and ) on ) ( a ( large ( black square ) ) ) ) ) ( on ( ( the ground ) ( with ( ( some ( yellow writing ) ) ( on it ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS people)))) (VP (VBP stand) (PP (IN near) (CC and) (IN on) (NP (DT a) (JJ large) (JJ black) (NN square))) (PP (IN on) (NP (NP (DT the) (NN ground)) (PP (IN with) (NP (NP (DT some) (JJ yellow) (NN writing)) (PP (IN on) (NP (PRP it)))))))) (. .))),a group of people stand,( ( ( a group ) ( of people ) ) stand ),(ROOT (S (NP (NP (DT a) (NN group)) (PP (IN of) (NP (NNS people)))) (VP (VBP stand))))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2913965136.jpg#2,neutral,2913965136.jpg#2r1n,The little boy gets ready to kick the soccer ball.,( ( The ( little boy ) ) ( ( gets ( ready ( to ( kick ( the ( soccer ball ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (JJ little) (NN boy)) (VP (VBZ gets) (ADJP (JJ ready) (S (VP (TO to) (VP (VB kick) (NP (DT the) (NN soccer) (NN ball))))))) (. .))),the boy is ten years old,( ( the boy ) ( is ( ( ten years ) old ) ) ),(ROOT (S (NP (DT the) (NN boy)) (VP (VBZ is) (ADJP (NP (CD ten) (NNS years)) (JJ old)))))
,"['entailment', 'neutral', 'entailment', 'entailment', 'neutral']",4326517877.jpg#4,entailment,4326517877.jpg#4r1e,Man and woman eating a hotdog.,( ( ( ( Man and ) woman ) ( eating ( a hotdog ) ) ) . ),(ROOT (NP (NP (NN Man) (CC and) (NN woman)) (VP (VBG eating) (NP (DT a) (NN hotdog))) (. .))),A man and woman are sharing a hotdog.,( ( A ( ( man and ) woman ) ) ( ( are ( sharing ( a hotdog ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man) (CC and) (NN woman)) (VP (VBP are) (VP (VBG sharing) (NP (DT a) (NN hotdog)))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2407214681.jpg#2,neutral,2407214681.jpg#2r1n,Two little boys wearing athletic jerseys are washing their hands in a public restroom.,( ( ( Two ( little boys ) ) ( wearing ( athletic jerseys ) ) ) ( ( are ( ( washing ( their hands ) ) ( in ( a ( public restroom ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (JJ little) (NNS boys)) (VP (VBG wearing) (NP (JJ athletic) (NNS jerseys)))) (VP (VBP are) (VP (VBG washing) (NP (PRP$ their) (NNS hands)) (PP (IN in) (NP (DT a) (JJ public) (NN restroom))))) (. .))),They were playing soccer.,( They ( ( were ( playing soccer ) ) . ) ),(ROOT (S (NP (PRP They)) (VP (VBD were) (VP (VBG playing) (NP (NN soccer)))) (. .)))
,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",2407214681.jpg#1,entailment,2407214681.jpg#1r1e,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom.,( ( ( Two ( small boys ) ) ( in ( blue ( soccer uniforms ) ) ) ) ( ( use ( ( ( a ( wooden set ) ) ( of steps ) ) ( to ( ( wash ( their hands ) ) ( in ( an ( adult-sized bathroom ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (JJ small) (NNS boys)) (PP (IN in) (NP (JJ blue) (NN soccer) (NNS uniforms)))) (VP (VBP use) (S (NP (NP (DT a) (JJ wooden) (NN set)) (PP (IN of) (NP (NNS steps)))) (VP (TO to) (VP (VB wash) (NP (PRP$ their) (NNS hands)) (PP (IN in) (NP (DT an) (JJ adult-sized) (NN bathroom))))))) (. .))),Two boys washing their hands,( ( Two boys ) ( washing ( their hands ) ) ),(ROOT (S (NP (NP (CD Two) (NNS boys)) (VP (VBG washing) (NP (PRP$ their) (NNS hands))))))
,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",4958466857.jpg#0,contradiction,4958466857.jpg#0r1c,Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,( ( ( Two men ) ( wearing ( dirty clothing ) ) ) ( ( are ( ( ( sitting ( on ( ( a sidewalk ) ( with ( their dog ) ) ) ) ) and ) ( ( begging ( for money ) ) ( using ( a ( cardboard sign ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS men)) (VP (VBG wearing) (NP (JJ dirty) (NN clothing)))) (VP (VBP are) (VP (VP (VBG sitting) (PP (IN on) (NP (NP (DT a) (NN sidewalk)) (PP (IN with) (NP (PRP$ their) (NN dog)))))) (CC and) (VP (VBG begging) (PP (IN for) (NP (NN money))) (S (VP (VBG using) (NP (DT a) (NN cardboard) (NN sign))))))) (. .))),These two illiterate men convinced their dog to write a panhandling sign for them.,( ( These ( two ( illiterate men ) ) ) ( ( ( convinced ( their dog ) ) ( to ( write ( ( a ( panhandling sign ) ) ( for them ) ) ) ) ) . ) ),(ROOT (S (NP (DT These) (CD two) (JJ illiterate) (NNS men)) (VP (VBD convinced) (NP (PRP$ their) (NN dog)) (S (VP (TO to) (VP (VB write) (NP (NP (DT a) (VBG panhandling) (NN sign)) (PP (IN for) (NP (PRP them)))))))) (. .)))
,"['neutral', 'entailment', 'contradiction', 'neutral', 'neutral']",4958466857.jpg#0,neutral,4958466857.jpg#0r1n,Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,( ( ( Two men ) ( wearing ( dirty clothing ) ) ) ( ( are ( ( ( sitting ( on ( ( a sidewalk ) ( with ( their dog ) ) ) ) ) and ) ( ( begging ( for money ) ) ( using ( a ( cardboard sign ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS men)) (VP (VBG wearing) (NP (JJ dirty) (NN clothing)))) (VP (VBP are) (VP (VP (VBG sitting) (PP (IN on) (NP (NP (DT a) (NN sidewalk)) (PP (IN with) (NP (PRP$ their) (NN dog)))))) (CC and) (VP (VBG begging) (PP (IN for) (NP (NN money))) (S (VP (VBG using) (NP (DT a) (NN cardboard) (NN sign))))))) (. .))),Two research scientists conduct research in disguise.,( ( Two ( research scientists ) ) ( ( conduct ( research ( in disguise ) ) ) . ) ),(ROOT (S (NP (CD Two) (NN research) (NNS scientists)) (VP (VBP conduct) (NP (NP (NN research)) (PP (IN in) (NP (NN disguise))))) (. .)))
,"['neutral', 'entailment', 'entailment', 'entailment', 'entailment']",3262801036.jpg#1,entailment,3262801036.jpg#1r1n,"Six rescuers cooperate to place an injured man on a transport device in snowy, mountainous terrain.","( ( Six rescuers ) ( ( cooperate ( to ( ( place ( an ( injured man ) ) ) ( on ( ( a ( transport device ) ) ( in ( snowy ( , ( mountainous terrain ) ) ) ) ) ) ) ) ) . ) )","(ROOT (S (NP (CD Six) (NNS rescuers)) (VP (VBP cooperate) (S (VP (TO to) (VP (VB place) (NP (DT an) (JJ injured) (NN man)) (PP (IN on) (NP (NP (DT a) (NN transport) (NN device)) (PP (IN in) (NP (JJ snowy) (, ,) (JJ mountainous) (NN terrain))))))))) (. .)))",six people act to save a seventh who is injured,( ( six people ) ( act ( to ( save ( ( a seventh ) ( who ( is injured ) ) ) ) ) ) ),(ROOT (S (NP (CD six) (NNS people)) (VP (VBP act) (S (VP (TO to) (VP (VB save) (NP (NP (DT a) (JJ seventh)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBN injured))))))))))))
,"['neutral', 'neutral', 'neutral', 'contradiction', 'entailment']",3610836768.jpg#4,neutral,3610836768.jpg#4r1n,Villagers pulling in the fish boat.,( ( Villagers ( pulling ( in ( the ( fish boat ) ) ) ) ) . ),(ROOT (NP (NP (NNS Villagers)) (VP (VBG pulling) (PP (IN in) (NP (DT the) (NN fish) (NN boat)))) (. .))),The villagers are preparing to go fishing.,( ( The villagers ) ( ( are ( preparing ( to ( go fishing ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS villagers)) (VP (VBP are) (VP (VBG preparing) (S (VP (TO to) (VP (VB go) (NP (NN fishing))))))) (. .)))
,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction']",4479482872.jpg#0,contradiction,4479482872.jpg#0r1c,A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.,( ( A boy ) ( ( ( ( swims shirtless ) ( with ( a ( ( ( black and ) red ) ( bathing suit ) ) ) ) ) ( while ( ( a seagull ) ( sits ( on ( the sand ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ swims) (NP (NNS shirtless)) (PP (IN with) (NP (DT a) (ADJP (JJ black) (CC and) (JJ red)) (NN bathing) (NN suit))) (SBAR (IN while) (S (NP (DT a) (NN seagull)) (VP (VBZ sits) (PP (IN on) (NP (DT the) (NN sand))))))) (. .))),A boy swims nude while a seagull eats his peanut butter sandwich.,( ( A boy ) ( ( ( swims nude ) ( while ( ( a seagull ) ( eats ( his ( peanut ( butter sandwich ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ swims) (ADJP (JJ nude)) (SBAR (IN while) (S (NP (DT a) (NN seagull)) (VP (VBZ eats) (NP (PRP$ his) (NN peanut) (NN butter) (NN sandwich)))))) (. .)))
,"['contradiction', 'neutral', 'neutral', 'contradiction', 'neutral']",209088143.jpg#3,neutral,209088143.jpg#3r1c,Here is a picture of people getting drunk at a house party.,( Here ( ( is ( ( a picture ) ( of ( people ( getting ( drunk ( at ( a ( house party ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (RB Here)) (VP (VBZ is) (NP (NP (DT a) (NN picture)) (PP (IN of) (NP (NP (NNS people)) (VP (VBG getting) (ADJP (JJ drunk) (PP (IN at) (NP (DT a) (NN house) (NN party))))))))) (. .))),Some people are by the side of a swimming pool partying.,( ( Some people ) ( ( are ( by ( ( the side ) ( of ( a ( swimming ( pool partying ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT Some) (NNS people)) (VP (VBP are) (PP (IN by) (NP (NP (DT the) (NN side)) (PP (IN of) (NP (DT a) (VBG swimming) (NN pool) (NN partying)))))) (. .)))
,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",2652311904.jpg#1,entailment,2652311904.jpg#1r1e,A busy street with numerous people interacting and going about their lives.,( ( ( ( A ( busy street ) ) ( with ( numerous people ) ) ) ( ( ( interacting and ) going ) ( about ( their lives ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (JJ busy) (NN street)) (PP (IN with) (NP (JJ numerous) (NNS people)))) (VP (VBG interacting) (CC and) (VBG going) (PP (IN about) (NP (PRP$ their) (NNS lives)))) (. .))),The street is alive with activity.,( ( The street ) ( ( is ( alive ( with activity ) ) ) . ) ),(ROOT (S (NP (DT The) (NN street)) (VP (VBZ is) (ADJP (JJ alive) (PP (IN with) (NP (NN activity))))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",7024547367.jpg#3,neutral,7024547367.jpg#3r1n,A variety of people are sitting around a tale doing craft projects.,( ( ( A variety ) ( of people ) ) ( ( are ( sitting ( around ( ( a tale ) ( doing ( craft projects ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN variety)) (PP (IN of) (NP (NNS people)))) (VP (VBP are) (VP (VBG sitting) (PP (IN around) (NP (NP (DT a) (NN tale)) (VP (VBG doing) (NP (NN craft) (NNS projects))))))) (. .))),The people are creative.,( ( The people ) ( ( are creative ) . ) ),(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (ADJP (JJ creative))) (. .)))
,"['neutral', 'contradiction', 'neutral', 'neutral', 'neutral']",4589050600.jpg#3,neutral,4589050600.jpg#3r1n,A woman in black reviews a message as she walks to work.,( ( ( A woman ) ( in black ) ) ( ( ( reviews ( a message ) ) ( as ( she ( walks ( to work ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN in) (NP (JJ black)))) (VP (VBZ reviews) (NP (DT a) (NN message)) (SBAR (IN as) (S (NP (PRP she)) (VP (VBZ walks) (S (VP (TO to) (VP (VB work)))))))) (. .))),The woman in black is being fired via text message.,( ( ( The woman ) ( in black ) ) ( ( is ( being ( fired ( via ( text message ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT The) (NN woman)) (PP (IN in) (NP (JJ black)))) (VP (VBZ is) (VP (VBG being) (VP (VBN fired) (PP (IN via) (NP (NN text) (NN message)))))) (. .)))
,"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",7981322255.jpg#2,entailment,7981322255.jpg#2r1n,A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,( ( A ( pro-baseball pitcher ) ) ( ( ( ( sends ( a ( curve ball ) ) ) ( to ( his opponent ) ) ) ( while ( ( many fans ) ( ( ( relax and ) enjoy ) ( the game ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ pro-baseball) (NN pitcher)) (VP (VBZ sends) (NP (DT a) (NN curve) (NN ball)) (PP (TO to) (NP (PRP$ his) (NN opponent))) (SBAR (IN while) (S (NP (JJ many) (NNS fans)) (VP (VBP relax) (CC and) (VBP enjoy) (NP (DT the) (NN game)))))) (. .))),A pitcher is playing baseball at a stadium,( ( A pitcher ) ( is ( ( playing baseball ) ( at ( a stadium ) ) ) ) ),(ROOT (S (NP (DT A) (NN pitcher)) (VP (VBZ is) (VP (VBG playing) (NP (NN baseball)) (PP (IN at) (NP (DT a) (NN stadium)))))))
,"['neutral', 'neutral', 'neutral', 'entailment', 'neutral']",295344517.jpg#4,neutral,295344517.jpg#4r1n,A family walking with a soldier.,( ( ( A family ) ( walking ( with ( a soldier ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN family)) (VP (VBG walking) (PP (IN with) (NP (DT a) (NN soldier)))) (. .))),A few people walk with a man in uniform.,( ( A ( few people ) ) ( ( walk ( with ( ( a man ) ( in uniform ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ few) (NNS people)) (VP (VBP walk) (PP (IN with) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (NN uniform)))))) (. .)))
,"['neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']",435966316.jpg#1,neutral,435966316.jpg#1r1n,"Three workers, with life vests and hard hats, on a boat hanging from cables over water.","( ( Three workers ) ( , ( ( with ( ( ( life vests ) and ) ( hard hats ) ) ) ( , ( ( on ( ( a boat ) ( hanging ( from ( cables ( over water ) ) ) ) ) ) . ) ) ) ) )","(ROOT (FRAG (NP (CD Three) (NNS workers)) (, ,) (PP (IN with) (NP (NP (NN life) (NNS vests)) (CC and) (NP (JJ hard) (NNS hats)))) (, ,) (PP (IN on) (NP (NP (DT a) (NN boat)) (VP (VBG hanging) (PP (IN from) (NP (NP (NNS cables)) (PP (IN over) (NP (NN water)))))))) (. .)))","Three lifeguards are haning from the boar, trying to save the dog from drowning.","( ( Three lifeguards ) ( ( are ( ( ( haning ( from ( the boar ) ) ) , ) ( trying ( to ( ( save ( the dog ) ) ( from drowning ) ) ) ) ) ) . ) )","(ROOT (S (NP (CD Three) (NNS lifeguards)) (VP (VBP are) (VP (VP (VBG haning) (PP (IN from) (NP (DT the) (NNS boar)))) (, ,) (VP (VBG trying) (S (VP (TO to) (VP (VB save) (NP (DT the) (NN dog)) (PP (IN from) (S (VP (VBG drowning)))))))))) (. .)))"
,"['neutral', 'neutral', 'neutral', 'contradiction', 'entailment']",4643839937.jpg#3,neutral,4643839937.jpg#3r1n,A man in a plaid shirt looking through a telescope lens.,( ( ( ( A man ) ( in ( a ( plaid shirt ) ) ) ) ( looking ( through ( a ( telescope lens ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ plaid) (NN shirt)))) (VP (VBG looking) (PP (IN through) (NP (DT a) (NN telescope) (NN lens)))) (. .))),the man is watching the stars,( ( the man ) ( is ( watching ( the stars ) ) ) ),(ROOT (S (NP (DT the) (NN man)) (VP (VBZ is) (VP (VBG watching) (NP (DT the) (NNS stars))))))
,"['neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction']",6320815265.jpg#0,contradiction,6320815265.jpg#0r1n,"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.","( ( ( A ( female runner ) ) ( dressed ( in ( blue ( athletic wear ) ) ) ) ) ( ( is ( ( ( running ( in ( a competition ) ) ) , ) ( while ( spectators ( line ( the street ) ) ) ) ) ) . ) )","(ROOT (S (NP (NP (DT A) (JJ female) (NN runner)) (VP (VBN dressed) (PP (IN in) (NP (JJ blue) (JJ athletic) (NN wear))))) (VP (VBZ is) (VP (VBG running) (PP (IN in) (NP (DT a) (NN competition))) (, ,) (SBAR (IN while) (S (NP (NNS spectators)) (VP (VBP line) (NP (DT the) (NN street))))))) (. .)))",There are children in the streets.,( There ( ( are ( children ( in ( the streets ) ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (NNS children)) (PP (IN in) (NP (DT the) (NNS streets))))) (. .)))
,"['neutral', 'neutral', 'neutral', 'entailment', 'neutral']",2373018323.jpg#1,neutral,2373018323.jpg#1r1n,A young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti.,( ( ( ( A ( young man ) ) ( in ( ( a ( blue hoodie ) ) ( ( doing ( a flip ) ) off ) ) ) ) ( of ( ( a half-wall ) ( that ( is ( covered ( in graffiti ) ) ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (JJ young) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ blue) (NN hoodie)) (VP (VBG doing) (NP (DT a) (JJ flip)) (PRT (RP off)))))) (PP (IN of) (NP (NP (DT a) (NN half-wall)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VBN covered) (PP (IN in) (NP (NNS graffiti))))))))) (. .))),A young man does a flip off a wall and wares baggie clothes.,( ( A ( young man ) ) ( ( ( does ( a flip ) ) ( off ( a ( wall ( and ( wares ( baggie clothes ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ young) (NN man)) (VP (VBZ does) (NP (DT a) (JJ flip)) (PP (IN off) (NP (DT a) (NN wall) (CC and) (NNS wares) (NN baggie) (NNS clothes)))) (. .)))
,"['neutral', 'entailment', 'entailment', 'entailment', 'entailment']",611301340.jpg#1,entailment,611301340.jpg#1r1n,A crowd wearing orange cheering for their team in a stadium.,( ( ( A crowd ) ( ( wearing ( orange cheering ) ) ( for ( ( their team ) ( in ( a stadium ) ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN crowd)) (VP (VBG wearing) (NP (JJ orange) (NNS cheering)) (PP (IN for) (NP (NP (PRP$ their) (NN team)) (PP (IN in) (NP (DT a) (NN stadium)))))) (. .))),Fans cheering on their team at the big game.,( ( Fans ( ( cheering ( on ( their team ) ) ) ( at ( the ( big game ) ) ) ) ) . ),(ROOT (NP (NP (NNS Fans)) (VP (VBG cheering) (PP (IN on) (NP (PRP$ their) (NN team))) (PP (IN at) (NP (DT the) (JJ big) (NN game)))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2311616095.jpg#1,neutral,2311616095.jpg#1r1n,Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,( ( ( Dark-haired man ) ( wearing ( ( a ( watch ( and ( oven mitt ) ) ) ) ( about ( to ( cook ( ( some meat ) ( in ( the kitchen ) ) ) ) ) ) ) ) ) . ),(ROOT (NP (NP (JJ Dark-haired) (NN man)) (VP (VBG wearing) (NP (NP (DT a) (NN watch) (CC and) (NN oven) (NN mitt)) (VP (IN about) (S (VP (TO to) (VP (VB cook) (NP (NP (DT some) (NN meat)) (PP (IN in) (NP (DT the) (NN kitchen)))))))))) (. .))),A man is going to surprise his wife with dinner.,( ( A man ) ( ( is ( going ( to ( ( surprise ( his wife ) ) ( with dinner ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB surprise) (NP (PRP$ his) (NN wife)) (PP (IN with) (NP (NN dinner)))))))) (. .)))
,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",2311616095.jpg#1,entailment,2311616095.jpg#1r1e,Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,( ( ( Dark-haired man ) ( wearing ( ( a ( watch ( and ( oven mitt ) ) ) ) ( about ( to ( cook ( ( some meat ) ( in ( the kitchen ) ) ) ) ) ) ) ) ) . ),(ROOT (NP (NP (JJ Dark-haired) (NN man)) (VP (VBG wearing) (NP (NP (DT a) (NN watch) (CC and) (NN oven) (NN mitt)) (VP (IN about) (S (VP (TO to) (VP (VB cook) (NP (NP (DT some) (NN meat)) (PP (IN in) (NP (DT the) (NN kitchen)))))))))) (. .))),A man is cooking something to eat.,( ( A man ) ( ( is ( ( cooking something ) ( to eat ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG cooking) (NP (NN something)) (S (VP (TO to) (VP (VB eat)))))) (. .)))
