index,full,casewords,wsw,nopunc,text_lemmatized,final,fullnopunc,label
567,Children playing a video game together.,children playing a video game together.,children playing video game together.,children playing video game together,"['child', 'playing', 'video', 'game', 'together']",child playing video game together,Children playing a video game together,entailment
568,A man in an orange jacket reaches under a busted up blue car on wooden supports.,a man in an orange jacket reaches under a busted up blue car on wooden supports.,man orange jacket reaches busted blue car wooden supports.,man orange jacket reaches busted blue car wooden supports,"['man', 'orange', 'jacket', 'reach', 'busted', 'blue', 'car', 'wooden', 'support']",man orange jacket reach busted blue car wooden support,A man in an orange jacket reaches under a busted up blue car on wooden supports,entailment
569,"A group of people, one of which is a woman with a large white and colorful purse, wait to board a large white and blue bus.","a group of people, one of which is a woman with a large white and colorful purse, wait to board a large white and blue bus.","group people, one woman large white colorful purse, wait board large white blue bus.",group people one woman large white colorful purse wait board large white blue bus,"['group', 'people', 'one', 'woman', 'large', 'white', 'colorful', 'purse', 'wait', 'board', 'large', 'white', 'blue', 'bus']",group people one woman large white colorful purse wait board large white blue bus,A group of people one of which is a woman with a large white and colorful purse wait to board a large white and blue bus,entailment
570,Two construction workers talk while looking at a Naval ship.,two construction workers talk while looking at a naval ship.,two construction workers talk looking naval ship.,two construction workers talk looking naval ship,"['two', 'construction', 'worker', 'talk', 'looking', 'naval', 'ship']",two construction worker talk looking naval ship,Two construction workers talk while looking at a Naval ship,neutral
571,A group of boys playing street soccer.,a group of boys playing street soccer.,group boys playing street soccer.,group boys playing street soccer,"['group', 'boy', 'playing', 'street', 'soccer']",group boy playing street soccer,A group of boys playing street soccer,neutral
572,A man wearing a welding mask working on a duct.,a man wearing a welding mask working on a duct.,man wearing welding mask working duct.,man wearing welding mask working duct,"['man', 'wearing', 'welding', 'mask', 'working', 'duct']",man wearing welding mask working duct,A man wearing a welding mask working on a duct,neutral
573,A man wearing a welding mask working on a duct.,a man wearing a welding mask working on a duct.,man wearing welding mask working duct.,man wearing welding mask working duct,"['man', 'wearing', 'welding', 'mask', 'working', 'duct']",man wearing welding mask working duct,A man wearing a welding mask working on a duct,neutral
574,A man wearing a welding mask working on a duct.,a man wearing a welding mask working on a duct.,man wearing welding mask working duct.,man wearing welding mask working duct,"['man', 'wearing', 'welding', 'mask', 'working', 'duct']",man wearing welding mask working duct,A man wearing a welding mask working on a duct,contradiction
575,A man and wife stand at the alter as they get married.,a man and wife stand at the alter as they get married.,man wife stand alter get married.,man wife stand alter get married,"['man', 'wife', 'stand', 'alter', 'get', 'married']",man wife stand alter get married,A man and wife stand at the alter as they get married,neutral
576,Man straining to climb cliff face.,man straining to climb cliff face.,man straining climb cliff face.,man straining climb cliff face,"['man', 'straining', 'climb', 'cliff', 'face']",man straining climb cliff face,Man straining to climb cliff face,neutral
577,Man straining to climb cliff face.,man straining to climb cliff face.,man straining climb cliff face.,man straining climb cliff face,"['man', 'straining', 'climb', 'cliff', 'face']",man straining climb cliff face,Man straining to climb cliff face,entailment
578,A woman with a pink purse walks down a crowded sidewalk.,a woman with a pink purse walks down a crowded sidewalk.,woman pink purse walks crowded sidewalk.,woman pink purse walks crowded sidewalk,"['woman', 'pink', 'purse', 'walk', 'crowded', 'sidewalk']",woman pink purse walk crowded sidewalk,A woman with a pink purse walks down a crowded sidewalk,neutral
579,A man talking into a microphone with a woman standing next to him.,a man talking into a microphone with a woman standing next to him.,man talking microphone woman standing next him.,man talking microphone woman standing next him,"['man', 'talking', 'microphone', 'woman', 'standing', 'next', 'him']",man talking microphone woman standing next him,A man talking into a microphone with a woman standing next to him,neutral
580,A man talking into a microphone with a woman standing next to him.,a man talking into a microphone with a woman standing next to him.,man talking microphone woman standing next him.,man talking microphone woman standing next him,"['man', 'talking', 'microphone', 'woman', 'standing', 'next', 'him']",man talking microphone woman standing next him,A man talking into a microphone with a woman standing next to him,neutral
581,A brown and black dog rubs his face in the grass.,a brown and black dog rubs his face in the grass.,brown black dog rubs face grass.,brown black dog rubs face grass,"['brown', 'black', 'dog', 'rub', 'face', 'grass']",brown black dog rub face grass,A brown and black dog rubs his face in the grass,neutral
582,A chef explains different varieties of Tomatoes to consumers.,a chef explains different varieties of tomatoes to consumers.,chef explains different varieties tomatoes consumers.,chef explains different varieties tomatoes consumers,"['chef', 'explains', 'different', 'variety', 'tomato', 'consumer']",chef explains different variety tomato consumer,A chef explains different varieties of Tomatoes to consumers,neutral
583,A worker is on a cherry picker in a palm tree.,a worker is on a cherry picker in a palm tree.,worker cherry picker palm tree.,worker cherry picker palm tree,"['worker', 'cherry', 'picker', 'palm', 'tree']",worker cherry picker palm tree,A worker is on a cherry picker in a palm tree,neutral
584,A worker is on a cherry picker in a palm tree.,a worker is on a cherry picker in a palm tree.,worker cherry picker palm tree.,worker cherry picker palm tree,"['worker', 'cherry', 'picker', 'palm', 'tree']",worker cherry picker palm tree,A worker is on a cherry picker in a palm tree,entailment
585,A dog chasing a duck in a pond.,a dog chasing a duck in a pond.,dog chasing duck pond.,dog chasing duck pond,"['dog', 'chasing', 'duck', 'pond']",dog chasing duck pond,A dog chasing a duck in a pond,entailment
586,A girl with a bowing throwing a wet sponge.,a girl with a bowing throwing a wet sponge.,girl bowing throwing wet sponge.,girl bowing throwing wet sponge,"['girl', 'bowing', 'throwing', 'wet', 'sponge']",girl bowing throwing wet sponge,A girl with a bowing throwing a wet sponge,neutral
587,A man in a blue helmet is riding his motorcycle.,a man in a blue helmet is riding his motorcycle.,man blue helmet riding motorcycle.,man blue helmet riding motorcycle,"['man', 'blue', 'helmet', 'riding', 'motorcycle']",man blue helmet riding motorcycle,A man in a blue helmet is riding his motorcycle,entailment
588,A little girl has her arms around a little boy standing on a wooden bridge in the woods.,a little girl has her arms around a little boy standing on a wooden bridge in the woods.,little girl arms around little boy standing wooden bridge woods.,little girl arms around little boy standing wooden bridge woods,"['little', 'girl', 'arm', 'around', 'little', 'boy', 'standing', 'wooden', 'bridge', 'wood']",little girl arm around little boy standing wooden bridge wood,A little girl has her arms around a little boy standing on a wooden bridge in the woods,entailment
589,A man in a green shirt and a red kilt is juggling three clubs.,a man in a green shirt and a red kilt is juggling three clubs.,man green shirt red kilt juggling three clubs.,man green shirt red kilt juggling three clubs,"['man', 'green', 'shirt', 'red', 'kilt', 'juggling', 'three', 'club']",man green shirt red kilt juggling three club,A man in a green shirt and a red kilt is juggling three clubs,neutral
590,"Am man riding a very tall bicycle down the street, past a large brick building.","am man riding a very tall bicycle down the street, past a large brick building.","man riding tall bicycle street, past large brick building.",man riding tall bicycle street past large brick building,"['man', 'riding', 'tall', 'bicycle', 'street', 'past', 'large', 'brick', 'building']",man riding tall bicycle street past large brick building,Am man riding a very tall bicycle down the street past a large brick building,entailment
591,Several people are laying on the floor sleeping covered by blankets.,several people are laying on the floor sleeping covered by blankets.,several people laying floor sleeping covered blankets.,several people laying floor sleeping covered blankets,"['several', 'people', 'laying', 'floor', 'sleeping', 'covered', 'blanket']",several people laying floor sleeping covered blanket,Several people are laying on the floor sleeping covered by blankets,neutral
592,A boy in a red jacket and balck hat sliding on his knees down a snowy hill,a boy in a red jacket and balck hat sliding on his knees down a snowy hill,boy red jacket balck hat sliding knees snowy hill,boy red jacket balck hat sliding knees snowy hill,"['boy', 'red', 'jacket', 'balck', 'hat', 'sliding', 'knee', 'snowy', 'hill']",boy red jacket balck hat sliding knee snowy hill,A boy in a red jacket and balck hat sliding on his knees down a snowy hill,contradiction
593,Boy in red and black shirt walks through grass.,boy in red and black shirt walks through grass.,boy red black shirt walks grass.,boy red black shirt walks grass,"['boy', 'red', 'black', 'shirt', 'walk', 'grass']",boy red black shirt walk grass,Boy in red and black shirt walks through grass,neutral
594,Young boy smiles at the camera from the tire swing.,young boy smiles at the camera from the tire swing.,young boy smiles camera tire swing.,young boy smiles camera tire swing,"['young', 'boy', 'smile', 'camera', 'tire', 'swing']",young boy smile camera tire swing,Young boy smiles at the camera from the tire swing,entailment
595,A dark-haired man is smiling while in a storage unit while four other men stand outside the unit watching.,a dark-haired man is smiling while in a storage unit while four other men stand outside the unit watching.,dark-haired man smiling storage unit four men stand outside unit watching.,dark-haired man smiling storage unit four men stand outside unit watching,"['dark-haired', 'man', 'smiling', 'storage', 'unit', 'four', 'men', 'stand', 'outside', 'unit', 'watching']",dark-haired man smiling storage unit four men stand outside unit watching,A dark-haired man is smiling while in a storage unit while four other men stand outside the unit watching,neutral
596,Two dogs in a grassy field.,two dogs in a grassy field.,two dogs grassy field.,two dogs grassy field,"['two', 'dog', 'grassy', 'field']",two dog grassy field,Two dogs in a grassy field,neutral
597,"A man and woman talk to another woman, all looking concerned, in a room being decorated with streamers and balloons.","a man and woman talk to another woman, all looking concerned, in a room being decorated with streamers and balloons.","man woman talk another woman, looking concerned, room decorated streamers balloons.",man woman talk another woman looking concerned room decorated streamers balloons,"['man', 'woman', 'talk', 'another', 'woman', 'looking', 'concerned', 'room', 'decorated', 'streamer', 'balloon']",man woman talk another woman looking concerned room decorated streamer balloon,A man and woman talk to another woman all looking concerned in a room being decorated with streamers and balloons,neutral
598,"A man and woman talk to another woman, all looking concerned, in a room being decorated with streamers and balloons.","a man and woman talk to another woman, all looking concerned, in a room being decorated with streamers and balloons.","man woman talk another woman, looking concerned, room decorated streamers balloons.",man woman talk another woman looking concerned room decorated streamers balloons,"['man', 'woman', 'talk', 'another', 'woman', 'looking', 'concerned', 'room', 'decorated', 'streamer', 'balloon']",man woman talk another woman looking concerned room decorated streamer balloon,A man and woman talk to another woman all looking concerned in a room being decorated with streamers and balloons,contradiction
599,Three friends are talking.,three friends are talking.,three friends talking.,three friends talking,"['three', 'friend', 'talking']",three friend talking,Three friends are talking,contradiction
600,A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,a young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls.,young teenage boy blue white striped coat gives weak smile walking four girls.,young teenage boy blue white striped coat gives weak smile walking four girls,"['young', 'teenage', 'boy', 'blue', 'white', 'striped', 'coat', 'give', 'weak', 'smile', 'walking', 'four', 'girl']",young teenage boy blue white striped coat give weak smile walking four girl,A young teenage boy in a blue and white striped coat gives a weak smile while walking with four other girls,neutral
601,"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.","a music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.","music concerto happening stage, lights spot, audience listens dark.",music concerto happening stage lights spot audience listens dark,"['music', 'concerto', 'happening', 'stage', 'light', 'spot', 'audience', 'listens', 'dark']",music concerto happening stage light spot audience listens dark,A music concerto is happening on stage with the lights on spot while the audience listens in the dark,contradiction
602,"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.","a music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.","music concerto happening stage, lights spot, audience listens dark.",music concerto happening stage lights spot audience listens dark,"['music', 'concerto', 'happening', 'stage', 'light', 'spot', 'audience', 'listens', 'dark']",music concerto happening stage light spot audience listens dark,A music concerto is happening on stage with the lights on spot while the audience listens in the dark,neutral
603,a man puts his hands up while telling an amusing story to his friend with a beard.,a man puts his hands up while telling an amusing story to his friend with a beard.,man puts hands telling amusing story friend beard.,man puts hands telling amusing story friend beard,"['man', 'put', 'hand', 'telling', 'amusing', 'story', 'friend', 'beard']",man put hand telling amusing story friend beard,a man puts his hands up while telling an amusing story to his friend with a beard,neutral
604,Three puppies are in the tub being sprayed with water by a person.,three puppies are in the tub being sprayed with water by a person.,three puppies tub sprayed water person.,three puppies tub sprayed water person,"['three', 'puppy', 'tub', 'sprayed', 'water', 'person']",three puppy tub sprayed water person,Three puppies are in the tub being sprayed with water by a person,neutral
605,A man in a button up shirt with a black shirt underneath presents in front of a television.,a man in a button up shirt with a black shirt underneath presents in front of a television.,man button shirt black shirt underneath presents front television.,man button shirt black shirt underneath presents front television,"['man', 'button', 'shirt', 'black', 'shirt', 'underneath', 'present', 'front', 'television']",man button shirt black shirt underneath present front television,A man in a button up shirt with a black shirt underneath presents in front of a television,neutral
606,A speaker is talking with a TV in the background.,a speaker is talking with a tv in the background.,speaker talking tv background.,speaker talking tv background,"['speaker', 'talking', 'tv', 'background']",speaker talking tv background,A speaker is talking with a TV in the background,neutral
607,"In an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.","in an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.","apparent classroom setting, young man blue t-shirt book knee woman dressed black next leans point something book.",apparent classroom setting young man blue t-shirt book knee woman dressed black next leans point something book,"['apparent', 'classroom', 'setting', 'young', 'man', 'blue', 't-shirt', 'book', 'knee', 'woman', 'dressed', 'black', 'next', 'lean', 'point', 'something', 'book']",apparent classroom setting young man blue t-shirt book knee woman dressed black next lean point something book,In an apparent classroom setting a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book,neutral
608,Two girls are sitting on a park bench one is looking at her phone and the other is looking on.,two girls are sitting on a park bench one is looking at her phone and the other is looking on.,two girls sitting park bench one looking phone looking on.,two girls sitting park bench one looking phone looking on,"['two', 'girl', 'sitting', 'park', 'bench', 'one', 'looking', 'phone', 'looking', 'on']",two girl sitting park bench one looking phone looking on,Two girls are sitting on a park bench one is looking at her phone and the other is looking on,entailment
609,A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.,a man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.,man bucket chery-picker cuts branches using chainsaw end long pole.,man bucket chery-picker cuts branches using chainsaw end long pole,"['man', 'bucket', 'chery-picker', 'cut', 'branch', 'using', 'chainsaw', 'end', 'long', 'pole']",man bucket chery-picker cut branch using chainsaw end long pole,A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole,entailment
610,"Two girls in winter jackets, knit hats, and glvoes are outside in the snow.","two girls in winter jackets, knit hats, and glvoes are outside in the snow.","two girls winter jackets, knit hats, glvoes outside snow.",two girls winter jackets knit hats glvoes outside snow,"['two', 'girl', 'winter', 'jacket', 'knit', 'hat', 'glvoes', 'outside', 'snow']",two girl winter jacket knit hat glvoes outside snow,Two girls in winter jackets knit hats and glvoes are outside in the snow,neutral
611,"Three black people, two men and one woman, in the middle of a small, rural street, are piling up items on top of a taxi cab with a net dangling down on top of the windshield, while two children and two other people are nearby.","three black people, two men and one woman, in the middle of a small, rural street, are piling up items on top of a taxi cab with a net dangling down on top of the windshield, while two children and two other people are nearby.","three black people, two men one woman, middle small, rural street, piling items top taxi cab net dangling top windshield, two children two people nearby.",three black people two men one woman middle small rural street piling items top taxi cab net dangling top windshield two children two people nearby,"['three', 'black', 'people', 'two', 'men', 'one', 'woman', 'middle', 'small', 'rural', 'street', 'piling', 'item', 'top', 'taxi', 'cab', 'net', 'dangling', 'top', 'windshield', 'two', 'child', 'two', 'people', 'nearby']",three black people two men one woman middle small rural street piling item top taxi cab net dangling top windshield two child two people nearby,Three black people two men and one woman in the middle of a small rural street are piling up items on top of a taxi cab with a net dangling down on top of the windshield while two children and two other people are nearby,neutral
612,"Three black people, two men and one woman, in the middle of a small, rural street, are piling up items on top of a taxi cab with a net dangling down on top of the windshield, while two children and two other people are nearby.","three black people, two men and one woman, in the middle of a small, rural street, are piling up items on top of a taxi cab with a net dangling down on top of the windshield, while two children and two other people are nearby.","three black people, two men one woman, middle small, rural street, piling items top taxi cab net dangling top windshield, two children two people nearby.",three black people two men one woman middle small rural street piling items top taxi cab net dangling top windshield two children two people nearby,"['three', 'black', 'people', 'two', 'men', 'one', 'woman', 'middle', 'small', 'rural', 'street', 'piling', 'item', 'top', 'taxi', 'cab', 'net', 'dangling', 'top', 'windshield', 'two', 'child', 'two', 'people', 'nearby']",three black people two men one woman middle small rural street piling item top taxi cab net dangling top windshield two child two people nearby,Three black people two men and one woman in the middle of a small rural street are piling up items on top of a taxi cab with a net dangling down on top of the windshield while two children and two other people are nearby,contradiction
613,"Three black people, two men and one woman, in the middle of a small, rural street, are piling up items on top of a taxi cab with a net dangling down on top of the windshield, while two children and two other people are nearby.","three black people, two men and one woman, in the middle of a small, rural street, are piling up items on top of a taxi cab with a net dangling down on top of the windshield, while two children and two other people are nearby.","three black people, two men one woman, middle small, rural street, piling items top taxi cab net dangling top windshield, two children two people nearby.",three black people two men one woman middle small rural street piling items top taxi cab net dangling top windshield two children two people nearby,"['three', 'black', 'people', 'two', 'men', 'one', 'woman', 'middle', 'small', 'rural', 'street', 'piling', 'item', 'top', 'taxi', 'cab', 'net', 'dangling', 'top', 'windshield', 'two', 'child', 'two', 'people', 'nearby']",three black people two men one woman middle small rural street piling item top taxi cab net dangling top windshield two child two people nearby,Three black people two men and one woman in the middle of a small rural street are piling up items on top of a taxi cab with a net dangling down on top of the windshield while two children and two other people are nearby,neutral
614,A man dressed as an angel balances a woman dressed as an angel on his thighs while she hands out papers to people passing on the sidewalk.,a man dressed as an angel balances a woman dressed as an angel on his thighs while she hands out papers to people passing on the sidewalk.,man dressed angel balances woman dressed angel thighs hands papers people passing sidewalk.,man dressed angel balances woman dressed angel thighs hands papers people passing sidewalk,"['man', 'dressed', 'angel', 'balance', 'woman', 'dressed', 'angel', 'thigh', 'hand', 'paper', 'people', 'passing', 'sidewalk']",man dressed angel balance woman dressed angel thigh hand paper people passing sidewalk,A man dressed as an angel balances a woman dressed as an angel on his thighs while she hands out papers to people passing on the sidewalk,entailment
615,"A single man in a blue t-shirt, jeans, and a baseball cap works on a roof of a house laying shingles.","a single man in a blue t-shirt, jeans, and a baseball cap works on a roof of a house laying shingles.","single man blue t-shirt, jeans, baseball cap works roof house laying shingles.",single man blue t-shirt jeans baseball cap works roof house laying shingles,"['single', 'man', 'blue', 't-shirt', 'jean', 'baseball', 'cap', 'work', 'roof', 'house', 'laying', 'shingle']",single man blue t-shirt jean baseball cap work roof house laying shingle,A single man in a blue t-shirt jeans and a baseball cap works on a roof of a house laying shingles,neutral
616,"A woman in an American military uniform sits at a table and writes the words ""sad,"" ""depressed,"" and ""hatred"" on a large sheet of white paper.","a woman in an american military uniform sits at a table and writes the words ""sad,"" ""depressed,"" and ""hatred"" on a large sheet of white paper.","woman american military uniform sits table writes words ""sad,"" ""depressed,"" ""hatred"" large sheet white paper.","woman american military uniform sits table writes words ""sad"" ""depressed"" ""hatred"" large sheet white paper","['woman', 'american', 'military', 'uniform', 'sits', 'table', 'writes', 'word', '""sad""', '""depressed""', '""hatred""', 'large', 'sheet', 'white', 'paper']","woman american military uniform sits table writes word ""sad"" ""depressed"" ""hatred"" large sheet white paper","A woman in an American military uniform sits at a table and writes the words ""sad"" ""depressed"" and ""hatred"" on a large sheet of white paper",contradiction
617,A man sitting on steps with a child as a bystander walks by.,a man sitting on steps with a child as a bystander walks by.,man sitting steps child bystander walks by.,man sitting steps child bystander walks by,"['man', 'sitting', 'step', 'child', 'bystander', 'walk', 'by']",man sitting step child bystander walk by,A man sitting on steps with a child as a bystander walks by,entailment
618,A man sitting on steps with a child as a bystander walks by.,a man sitting on steps with a child as a bystander walks by.,man sitting steps child bystander walks by.,man sitting steps child bystander walks by,"['man', 'sitting', 'step', 'child', 'bystander', 'walk', 'by']",man sitting step child bystander walk by,A man sitting on steps with a child as a bystander walks by,entailment
619,Two people climb a rock overhanging water.,two people climb a rock overhanging water.,two people climb rock overhanging water.,two people climb rock overhanging water,"['two', 'people', 'climb', 'rock', 'overhanging', 'water']",two people climb rock overhanging water,Two people climb a rock overhanging water,neutral
620,A tractor decorated as a float for a parade,a tractor decorated as a float for a parade,tractor decorated float parade,tractor decorated float parade,"['tractor', 'decorated', 'float', 'parade']",tractor decorated float parade,A tractor decorated as a float for a parade,neutral
621,A dog leaps into the air for a tennis ball.,a dog leaps into the air for a tennis ball.,dog leaps air tennis ball.,dog leaps air tennis ball,"['dog', 'leap', 'air', 'tennis', 'ball']",dog leap air tennis ball,A dog leaps into the air for a tennis ball,neutral
622,"A woman with a blond ponytail and a white hat is riding a white horse, inside a fence with a horned cow.","a woman with a blond ponytail and a white hat is riding a white horse, inside a fence with a horned cow.","woman blond ponytail white hat riding white horse, inside fence horned cow.",woman blond ponytail white hat riding white horse inside fence horned cow,"['woman', 'blond', 'ponytail', 'white', 'hat', 'riding', 'white', 'horse', 'inside', 'fence', 'horned', 'cow']",woman blond ponytail white hat riding white horse inside fence horned cow,A woman with a blond ponytail and a white hat is riding a white horse inside a fence with a horned cow,neutral
623,An entertainers reaches out to his audience during a performance.,an entertainers reaches out to his audience during a performance.,entertainers reaches audience performance.,entertainers reaches audience performance,"['entertainer', 'reach', 'audience', 'performance']",entertainer reach audience performance,An entertainers reaches out to his audience during a performance,neutral
624,A dog attacking a man wearing protective gear.,a dog attacking a man wearing protective gear.,dog attacking man wearing protective gear.,dog attacking man wearing protective gear,"['dog', 'attacking', 'man', 'wearing', 'protective', 'gear']",dog attacking man wearing protective gear,A dog attacking a man wearing protective gear,entailment
625,A dog attacking a man wearing protective gear.,a dog attacking a man wearing protective gear.,dog attacking man wearing protective gear.,dog attacking man wearing protective gear,"['dog', 'attacking', 'man', 'wearing', 'protective', 'gear']",dog attacking man wearing protective gear,A dog attacking a man wearing protective gear,neutral
626,"A smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.","a smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.","smiling man gray hair glasses, dressed black, sitting chair music stand front him.",smiling man gray hair glasses dressed black sitting chair music stand front him,"['smiling', 'man', 'gray', 'hair', 'glass', 'dressed', 'black', 'sitting', 'chair', 'music', 'stand', 'front', 'him']",smiling man gray hair glass dressed black sitting chair music stand front him,A smiling man with gray hair and glasses dressed in black is sitting in a chair with a music stand in front of him,neutral
627,A man in a short Mohawk and beard.,a man in a short mohawk and beard.,man short mohawk beard.,man short mohawk beard,"['man', 'short', 'mohawk', 'beard']",man short mohawk beard,A man in a short Mohawk and beard,contradiction
628,A man in a short Mohawk and beard.,a man in a short mohawk and beard.,man short mohawk beard.,man short mohawk beard,"['man', 'short', 'mohawk', 'beard']",man short mohawk beard,A man in a short Mohawk and beard,entailment
629,A man in a short Mohawk and beard.,a man in a short mohawk and beard.,man short mohawk beard.,man short mohawk beard,"['man', 'short', 'mohawk', 'beard']",man short mohawk beard,A man in a short Mohawk and beard,entailment
630,A woman is posing in a meadow next to an old truck.,a woman is posing in a meadow next to an old truck.,woman posing meadow next old truck.,woman posing meadow next old truck,"['woman', 'posing', 'meadow', 'next', 'old', 'truck']",woman posing meadow next old truck,A woman is posing in a meadow next to an old truck,entailment
631,"A young redheaded girl, wearing a yellow shirt, black pants, and sneakers, jumping in a grassy field with blue skies and wispy clouds in the background.","a young redheaded girl, wearing a yellow shirt, black pants, and sneakers, jumping in a grassy field with blue skies and wispy clouds in the background.","young redheaded girl, wearing yellow shirt, black pants, sneakers, jumping grassy field blue skies wispy clouds background.",young redheaded girl wearing yellow shirt black pants sneakers jumping grassy field blue skies wispy clouds background,"['young', 'redheaded', 'girl', 'wearing', 'yellow', 'shirt', 'black', 'pant', 'sneaker', 'jumping', 'grassy', 'field', 'blue', 'sky', 'wispy', 'cloud', 'background']",young redheaded girl wearing yellow shirt black pant sneaker jumping grassy field blue sky wispy cloud background,A young redheaded girl wearing a yellow shirt black pants and sneakers jumping in a grassy field with blue skies and wispy clouds in the background,entailment
632,A boy dressed in a plaid kilt with a brown hat wields a long pole.,a boy dressed in a plaid kilt with a brown hat wields a long pole.,boy dressed plaid kilt brown hat wields long pole.,boy dressed plaid kilt brown hat wields long pole,"['boy', 'dressed', 'plaid', 'kilt', 'brown', 'hat', 'wields', 'long', 'pole']",boy dressed plaid kilt brown hat wields long pole,A boy dressed in a plaid kilt with a brown hat wields a long pole,neutral
633,A woman in white climbs up a metal structure.,a woman in white climbs up a metal structure.,woman white climbs metal structure.,woman white climbs metal structure,"['woman', 'white', 'climb', 'metal', 'structure']",woman white climb metal structure,A woman in white climbs up a metal structure,entailment
634,"A person is squatting down near buckets, holding something in one hand.","a person is squatting down near buckets, holding something in one hand.","person squatting near buckets, holding something one hand.",person squatting near buckets holding something one hand,"['person', 'squatting', 'near', 'bucket', 'holding', 'something', 'one', 'hand']",person squatting near bucket holding something one hand,A person is squatting down near buckets holding something in one hand,neutral
635,Older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building.,older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building.,older man wearing dark blue clothing sweeping ground person wearing red coat carrying green bag entering building.,older man wearing dark blue clothing sweeping ground person wearing red coat carrying green bag entering building,"['older', 'man', 'wearing', 'dark', 'blue', 'clothing', 'sweeping', 'ground', 'person', 'wearing', 'red', 'coat', 'carrying', 'green', 'bag', 'entering', 'building']",older man wearing dark blue clothing sweeping ground person wearing red coat carrying green bag entering building,Older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building,entailment
636,A girl is about to hit a tennis ball coming from above her with a racket,a girl is about to hit a tennis ball coming from above her with a racket,girl hit tennis ball coming racket,girl hit tennis ball coming racket,"['girl', 'hit', 'tennis', 'ball', 'coming', 'racket']",girl hit tennis ball coming racket,A girl is about to hit a tennis ball coming from above her with a racket,neutral
637,A young male is running while playing tennis against another person.,a young male is running while playing tennis against another person.,young male running playing tennis another person.,young male running playing tennis another person,"['young', 'male', 'running', 'playing', 'tennis', 'another', 'person']",young male running playing tennis another person,A young male is running while playing tennis against another person,neutral
638,"Two women, standing at a fence, are each talking on their cellphones, while two men sitting on the opposite side of the fence are having a conversation.","two women, standing at a fence, are each talking on their cellphones, while two men sitting on the opposite side of the fence are having a conversation.","two women, standing fence, talking cellphones, two men sitting opposite side fence conversation.",two women standing fence talking cellphones two men sitting opposite side fence conversation,"['two', 'woman', 'standing', 'fence', 'talking', 'cellphone', 'two', 'men', 'sitting', 'opposite', 'side', 'fence', 'conversation']",two woman standing fence talking cellphone two men sitting opposite side fence conversation,Two women standing at a fence are each talking on their cellphones while two men sitting on the opposite side of the fence are having a conversation,contradiction
639,"Two women, standing at a fence, are each talking on their cellphones, while two men sitting on the opposite side of the fence are having a conversation.","two women, standing at a fence, are each talking on their cellphones, while two men sitting on the opposite side of the fence are having a conversation.","two women, standing fence, talking cellphones, two men sitting opposite side fence conversation.",two women standing fence talking cellphones two men sitting opposite side fence conversation,"['two', 'woman', 'standing', 'fence', 'talking', 'cellphone', 'two', 'men', 'sitting', 'opposite', 'side', 'fence', 'conversation']",two woman standing fence talking cellphone two men sitting opposite side fence conversation,Two women standing at a fence are each talking on their cellphones while two men sitting on the opposite side of the fence are having a conversation,contradiction
640,A lit girl splashes around in natural water.,a lit girl splashes around in natural water.,lit girl splashes around natural water.,lit girl splashes around natural water,"['lit', 'girl', 'splash', 'around', 'natural', 'water']",lit girl splash around natural water,A lit girl splashes around in natural water,neutral
641,A white man in a red shirt riding a bike.,a white man in a red shirt riding a bike.,white man red shirt riding bike.,white man red shirt riding bike,"['white', 'man', 'red', 'shirt', 'riding', 'bike']",white man red shirt riding bike,A white man in a red shirt riding a bike,entailment
642,A white man in a red shirt riding a bike.,a white man in a red shirt riding a bike.,white man red shirt riding bike.,white man red shirt riding bike,"['white', 'man', 'red', 'shirt', 'riding', 'bike']",white man red shirt riding bike,A white man in a red shirt riding a bike,neutral
643,Two men are shirtless on the beach on a beautiful day.,two men are shirtless on the beach on a beautiful day.,two men shirtless beach beautiful day.,two men shirtless beach beautiful day,"['two', 'men', 'shirtless', 'beach', 'beautiful', 'day']",two men shirtless beach beautiful day,Two men are shirtless on the beach on a beautiful day,neutral
644,People at a farmer's market.,people at a farmer's market.,people farmer's market.,people farmers market,"['people', 'farmer', 'market']",people farmer market,People at a farmers market,neutral
